repo_name,has_readme,has_title,has_description,has_installation,has_usage,has_contributing,has_license,missing_sections,srs_exists
Anywhere_Zendesk_API,True,True,True,False,True,False,False,"installation,contributing,license",False
AutomateFlash,True,True,True,True,True,False,False,"contributing,license",False
LC-sportsday,True,True,True,True,True,False,False,"contributing,license",False
LE_Chatbot_backend,True,True,True,False,False,True,True,"installation,usage",False
LE_Chatbot_frontend,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
LE_Projector_DonorBoard,True,True,True,False,True,True,True,installation,False
LE_Projector_DonorBoard_Backend,True,True,True,True,True,True,False,license,False
LE_Projector_DonorBoard_Frontend,True,False,True,True,True,True,False,"title,license",False
LE_Read_FileVDO,True,True,True,True,True,False,False,"contributing,license",False
LE_VDO_Reconcilation,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
LOL_Assessment,True,True,True,True,True,True,True,none,False
LineNotificationLE,True,True,True,False,False,False,False,"installation,usage,contributing,license",False
OD_Asset_Tracking_App,True,True,True,True,False,True,False,"usage,license",False
OND_Asset_Tracking_CLI,True,True,True,True,False,False,False,"usage,contributing,license",False
OND_Asset_Tracking_PWA,True,True,True,False,True,True,False,"installation,license",False
OND_Asset_Tracking_Service,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
RBAC-awx-project,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SA-TA-Booking,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-B2B-AMT,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-CURRENT_TERM,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-CUSTOMER-DEPT-TRACKING,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-CUSTOMER_AR_AP,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-INVENTORY_AGING,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-JIRA-GW,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-LEARNCRAFT,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-ONLINE-PEDAGOGY,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-ONLINE-POS,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-SALE-ERP,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
SSIS-SALE-ERP-FIX,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
TEST-GITHUB,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
Wisible_Sycn_Deal_BI,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
academic-cost,True,True,True,True,True,False,True,contributing,False
airflow,True,True,True,False,True,False,True,"installation,contributing",False
airflow-UAT,True,True,True,False,True,False,True,"installation,contributing",False
amortization-service,True,True,True,True,True,True,True,none,False
amortized-service,True,True,True,False,False,False,False,"installation,usage,contributing,license",False
amt,True,True,True,True,True,False,True,contributing,False
app-hit-service-poc,True,True,True,True,True,True,True,none,False
appa-sale-system,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
asset,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
asset-management-service,True,True,True,True,True,True,True,none,False
asset-service,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
atlas-app-hit,True,True,True,True,True,True,True,none,False
atlas-diagram,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
atlas-erp-queue-manager,True,True,True,True,True,True,True,none,False
atlas-erp-tunnel,True,True,True,True,True,True,True,none,False
atlas-logger-service,True,True,True,True,True,True,True,none,False
atlas-mobile-app,True,True,True,True,False,False,False,"usage,contributing,license",False
atlas-pubsub-forwarder,True,True,False,False,False,False,False,"description,installation,usage,contributing,license",False
atlas-shorten-url,True,True,True,True,True,True,True,none,False
atlas-strapi,True,True,True,True,True,True,False,license,False
audit-service,True,True,True,True,True,False,False,"contributing,license",False
auth-service,True,True,True,True,True,True,True,none,False
bank-gateway,True,True,True,True,True,False,True,contributing,False
be-form-service-api,True,True,False,False,False,False,False,"description,installation,usage,contributing,license",False
calculate-reward-erp,True,True,True,False,True,False,False,"installation,contributing,license",False
career-school-data,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
casa,True,True,True,False,False,False,False,"installation,usage,contributing,license",False
cash-reconcile,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
code-genius-server,True,False,True,True,True,True,True,title,False
code-genius-web,True,False,True,False,True,True,False,"title,installation,license",False
convert_data_timesheet,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
course-recommendation,True,True,True,True,True,True,True,none,False
courses-service,True,True,True,True,True,True,True,none,False
createPurchaseEventSqueezely,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
createSO,True,True,True,True,True,False,False,"contributing,license",False
data-lakehouse,True,True,True,False,True,True,False,"installation,license",False
data-quality-management,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
data-team-api,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
datahub-uat,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
debt-collection,True,True,True,True,True,True,True,none,False
edusmith-register,True,True,True,True,True,True,False,license,False
edusmithsales,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
etax-service,True,True,True,True,True,True,True,none,False
export-delivery-order-to-bigquery,True,True,True,False,True,True,True,installation,False
export-saleorder-to-bigquery,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
extract-bank-file,True,False,True,True,False,False,False,"title,usage,contributing,license",False
fe-form-service,True,True,True,False,False,False,True,"installation,usage,contributing",False
generate-bank-transfer-file,True,True,True,True,False,False,False,"usage,contributing,license",False
generate-pms-googlesheet,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
git-action-poc,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
github-backup,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
googlesheet-amortized,True,False,False,False,False,True,False,"title,description,installation,usage,license",False
handbook-integration-service,True,True,True,False,True,True,True,installation,False
ig-booking1on1,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
ig-mastercourse,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
ig-student-portal,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
ig-studiobooking,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
ignite,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
ignite_ignite_liff,True,False,True,False,False,True,True,"title,installation,usage",False
insidesatit,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
kissflow-erp,True,True,True,True,True,True,True,none,False
kissflow-webhook,True,True,True,True,True,True,True,none,False
lc_zendesk_integration,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
le-gamification,True,True,True,True,True,False,True,contributing,False
learn-delivery-api,True,True,True,True,True,True,False,license,False
learn-okr,True,False,True,False,False,True,True,"title,installation,usage",False
learn-poral-migration,True,True,True,True,True,False,False,"contributing,license",False
learn-portal-api,True,True,True,True,True,True,True,none,False
learn-portal-k6-script,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
learn-portal-ui,True,True,True,True,True,True,False,license,False
learn-service-api,True,True,True,True,True,True,True,none,False
learn-service-ui,True,True,True,True,True,True,False,license,False
learn-shop-online-server,True,True,True,True,True,True,True,none,False
learn-shop-online-ui,True,True,True,True,True,True,False,license,False
learnlab-sale-order,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
lic-automate_folder,True,True,True,True,True,False,False,"contributing,license",False
lic_stock_learn-front,True,True,True,True,True,True,False,license,False
lic_stock_learn-web,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
line_OA-group_report,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
list_master_file,True,True,True,True,True,False,False,"contributing,license",False
lol-360-server,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
lol-360-ui,True,True,True,True,True,True,False,license,False
notification-service,True,True,True,True,True,True,True,none,False
oauth-gateway,True,True,True,True,True,True,True,none,False
od-erp-pubsub,True,False,True,True,True,False,False,"title,contributing,license",False
od-erp-service,True,True,True,False,True,True,False,"installation,license",False
od-flash-fulfillment-service,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
oe-booking1on1,True,False,True,False,False,True,True,"title,installation,usage",False
oe-event,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
oe-mastercourse,True,False,True,False,False,True,True,"title,installation,usage",False
oe-wangplan,True,False,True,False,False,True,True,"title,installation,usage",False
onboarding-service,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
ondemand,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
order-management-service,True,True,True,True,True,True,True,none,False
order-management-system,True,True,True,False,False,True,True,"installation,usage",False
partner-help-centre,True,False,True,False,False,True,True,"title,installation,usage",False
payment-integration,True,True,True,True,True,True,True,none,False
payment-service,True,True,True,True,True,True,True,none,False
payment-service-ui,True,True,True,True,True,False,True,contributing,False
perf-erp-test,True,True,True,True,True,True,True,none,False
poc-nextjs-share-cookie-1,True,True,True,True,True,True,False,license,False
poc-nextjs-share-cookie-2,True,True,True,True,True,True,False,license,False
poc-sso,True,True,True,True,True,True,False,license,False
point-engine,True,True,True,True,True,True,True,none,False
rbac-provisioning-complete-Create,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
rbac-provisioning-complete-Delete,True,True,True,False,False,False,False,"installation,usage,contributing,license",False
redemption-ondemand,True,True,True,True,True,True,True,none,False
refund-change-management-service,True,True,True,True,True,False,True,contributing,False
report-api-test,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
reward-point-api,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
reward-points-ui,True,True,True,True,True,False,False,"contributing,license",False
robot-shop-online,True,True,False,False,False,False,False,"description,installation,usage,contributing,license",False
self-api-one,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
self-le,True,True,True,False,True,False,True,"installation,contributing",False
self-oe,True,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
self-one,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
self_api,True,True,True,True,True,True,False,license,False
self_one,True,True,True,False,True,False,True,"installation,contributing",False
send-in-blue,True,True,True,True,True,True,True,none,False
shop-online-new-era-api,True,True,True,True,True,False,True,contributing,False
shop-online-new-era-server,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
shop-online-new-era-ui,True,True,True,True,True,True,False,license,False
shop-online-tcas-management,True,True,True,False,True,False,False,"installation,contributing,license",False
shopOnlineSaleOrder,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
sku-promotion-management,True,True,True,True,True,False,False,"contributing,license",False
so-adapter,True,True,True,True,True,True,True,none,False
ssis-amt,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
steamlit-tribe-1-service,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
streak-data-preprocessing,True,True,False,False,False,False,False,"description,installation,usage,contributing,license",False
student-portal-api,True,True,True,True,True,True,True,none,False
student-portal-ui,True,True,True,True,True,False,False,"contributing,license",False
sync-erp-wisible,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
timesheet,True,False,True,False,True,True,True,"title,installation",False
toc-project,True,True,True,True,True,True,True,none,False
updateOrderStatusFromERP,True,True,True,False,True,True,False,"installation,license",False
upload-file-service,True,True,True,True,True,True,True,none,False
user-api,True,True,True,True,True,True,True,none,False
user-portal,True,True,True,True,True,True,False,license,False
user-portal-backoffice,True,True,True,True,True,True,False,license,False
web_redemption_ondemand_backend,True,True,True,True,True,True,True,none,False
web_redemption_ondemand_frontend,True,True,True,True,True,True,False,license,False
webstocklic,False,False,False,False,False,False,False,"title,description,installation,usage,contributing,license",False
